"","X0"
"1",0
"2",0.0606060606060606
"3",0
"4",0.121951219512195
"5",0.166666666666667
"6",0.15
"7",0.16
"8",0.0833333333333333
"9",0.05
"10",0.0294117647058824
"11",0
"12",0
"13",0.125
"14",0.103448275862069
"15",0.103448275862069
"16",0.137931034482759
"17",0.2
"18",0.0540540540540541
"19",0
"20",0.216216216216216
"21",0
"22",0.138888888888889
"23",0.037037037037037
"24",0.128205128205128
"25",0
"26",0.0769230769230769
"27",0.0645161290322581
"28",0
"29",0
"30",0.1
"31",0
"32",0.1
"33",0
"34",0.0285714285714286
"35",0.0285714285714286
"36",0
"37",0.04
"38",0.1
"39",0.0606060606060606
"40",0.0285714285714286
"41",0.0263157894736842
"42",0.0689655172413793
"43",0
"44",0.03125
"45",0.111111111111111
"46",0.2
"47",0.192307692307692
"48",0.032258064516129
"49",0.05
"50",0.0333333333333333
"51",0
"52",0.0909090909090909
"53",0
"54",0.0645161290322581
"55",0.03125
"56",0.0303030303030303
"57",0
"58",0.0303030303030303
"59",0
"60",0.0454545454545455
"61",0
"62",0.115384615384615
"63",0
"64",0.0333333333333333
"65",0
"66",0.0333333333333333
"67",0.107142857142857
"68",0.1
"69",0.0645161290322581
"70",0.0344827586206897
"71",0.0571428571428571
"72",0.161290322580645
"73",0.04
"74",0.037037037037037
"75",0
"76",0.0882352941176471
"77",0.2
"78",0.0869565217391304
"79",0.16
"80",0.037037037037037
"81",0.0344827586206897
"82",0.0714285714285714
"83",0.05
"84",0.107142857142857
"85",0.0967741935483871
"86",0.115384615384615
"87",0.0689655172413793
"88",0.04
"89",0.0263157894736842
"90",0.137931034482759
"91",0.05
"92",0.0555555555555556
"93",0
"94",0.0256410256410256
"95",0.129032258064516
"96",0.0303030303030303
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0.0689655172413793
"103",0
"104",0.12
"105",0.15625
"106",0.129032258064516
"107",0.192307692307692
"108",0.2
"109",0.0769230769230769
"110",0.2
"111",0.0714285714285714
"112",0
"113",0
"114",0.04
"115",0.0344827586206897
"116",0.133333333333333
"117",0
"118",0
"119",0
"120",0.210526315789474
"121",0
"122",0
"123",0
"124",0.142857142857143
"125",0.03125
"126",0.185185185185185
"127",0.0810810810810811
"128",0.0357142857142857
"129",0.115384615384615
"130",0.0714285714285714
"131",0
"132",0.0714285714285714
"133",0
"134",0.0833333333333333
"135",0.04
"136",0
"137",0.2
"138",0
"139",0.2
"140",0.152173913043478
"141",0.0588235294117647
"142",0.0769230769230769
"143",0
"144",0.0263157894736842
"145",0
"146",0.032258064516129
"147",0.0645161290322581
"148",0.0416666666666667
"149",0.037037037037037
"150",0.03125
"151",0
"152",0
"153",0.0909090909090909
"154",0.04
"155",0.15
"156",0.133333333333333
"157",0.0571428571428571
"158",0.166666666666667
"159",0
"160",0.170731707317073
"161",0
"162",0
"163",0
"164",0.0606060606060606
"165",0
"166",0.024390243902439
"167",0.0294117647058824
"168",0
"169",0.04
"170",0
"171",0.0833333333333333
"172",0.0357142857142857
"173",0
"174",0
"175",0
"176",0
"177",0.113636363636364
"178",0
"179",0.037037037037037
"180",0.0416666666666667
"181",0.0294117647058824
"182",0.129032258064516
"183",0.0294117647058824
"184",0.0434782608695652
"185",0.0344827586206897
"186",0
"187",0
"188",0.129032258064516
"189",0.09375
"190",0.0384615384615385
"191",0
"192",0.0681818181818182
"193",0
"194",0.0344827586206897
"195",0
"196",0.0555555555555556
"197",0
"198",0.0434782608695652
"199",0.0967741935483871
"200",0.032258064516129
"201",0.04
"202",0.0357142857142857
"203",0.0357142857142857
"204",0.0689655172413793
"205",0
"206",0
"207",0.133333333333333
"208",0
"209",0.135135135135135
"210",0.303030303030303
"211",0.04
"212",0.0333333333333333
"213",0
"214",0.0333333333333333
"215",0
"216",0.0833333333333333
"217",0.0909090909090909
"218",0.0333333333333333
"219",0.037037037037037
"220",0.0344827586206897
"221",0
"222",0
"223",0
"224",0.0384615384615385
"225",0.0357142857142857
"226",0
"227",0.0277777777777778
"228",0.0384615384615385
"229",0.0526315789473684
"230",0.027027027027027
"231",0.136363636363636
"232",0
"233",0
"234",0.117647058823529
"235",0
"236",0.222222222222222
"237",0.0540540540540541
"238",0
"239",0.21875
"240",0.0769230769230769
"241",0
"242",0.130434782608696
"243",0
"244",0
"245",0
"246",0.037037037037037
"247",0
"248",0
"249",0
"250",0.121212121212121
"251",0
"252",0
"253",0
"254",0
"255",0.0344827586206897
"256",0
"257",0.0810810810810811
"258",0.0333333333333333
"259",0.15
"260",0.0256410256410256
"261",0.0882352941176471
"262",0.148148148148148
"263",0
"264",0.111111111111111
"265",0
"266",0.0909090909090909
"267",0.103448275862069
"268",0.0625
"269",0.0645161290322581
"270",0.136363636363636
"271",0.0344827586206897
"272",0.0357142857142857
"273",0.0666666666666667
"274",0.0571428571428571
"275",0
"276",0.1875
"277",0.08
"278",0
"279",0.121212121212121
"280",0.379310344827586
"281",0
"282",0.08
"283",0
"284",0.0606060606060606
"285",0.0625
"286",0.0285714285714286
"287",0.0344827586206897
"288",0.0263157894736842
"289",0.0909090909090909
"290",0.0384615384615385
"291",0
"292",0.0344827586206897
"293",0.032258064516129
"294",0.0645161290322581
"295",0
"296",0.138888888888889
"297",0.0333333333333333
"298",0.111111111111111
"299",0.0625
"300",0
"301",0.0714285714285714
"302",0.161290322580645
"303",0.111111111111111
"304",0
"305",0
"306",0
"307",0.037037037037037
"308",0.0740740740740741
"309",0.121212121212121
"310",0.0487804878048781
"311",0
"312",0.0571428571428571
"313",0
"314",0.0256410256410256
"315",0
"316",0.0588235294117647
"317",0
"318",0.037037037037037
"319",0.0740740740740741
"320",0
"321",0.0769230769230769
"322",0.0303030303030303
"323",0
"324",0.0625
"325",0
"326",0.032258064516129
"327",0.0740740740740741
"328",0.12
"329",0.0606060606060606
"330",0.0526315789473684
"331",0.0294117647058824
"332",0.121212121212121
"333",0
"334",0.214285714285714
"335",0
"336",0.151515151515152
"337",0.238095238095238
"338",0.117647058823529
"339",0.125
"340",0.185185185185185
"341",0.0357142857142857
"342",0.032258064516129
"343",0
"344",0.0344827586206897
"345",0.0285714285714286
"346",0.1
"347",0.238095238095238
"348",0.125
"349",0.0294117647058824
"350",0.0740740740740741
"351",0
"352",0.04
"353",0.032258064516129
"354",0
"355",0.0689655172413793
"356",0.0769230769230769
"357",0.0714285714285714
"358",0
"359",0
"360",0.0689655172413793
"361",0.0967741935483871
"362",0.181818181818182
"363",0
"364",0.0714285714285714
"365",0
"366",0.027027027027027
"367",0.0789473684210526
"368",0.0416666666666667
"369",0.129032258064516
"370",0
"371",0
"372",0.08
"373",0
"374",0.0571428571428571
"375",0.0416666666666667
"376",0
"377",0.027027027027027
"378",0
"379",0.032258064516129
"380",0.0625
"381",0.0344827586206897
"382",0
"383",0
"384",0
"385",0.0357142857142857
"386",0
"387",0.0740740740740741
"388",0
"389",0
"390",0.037037037037037
"391",0.032258064516129
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0.103448275862069
"399",0.0769230769230769
"400",0.0833333333333333
"401",0.0882352941176471
"402",0.0666666666666667
"403",0.08
"404",0.125
"405",0.027027027027027
"406",0.08
"407",0.0740740740740741
"408",0.0333333333333333
"409",0
"410",0
"411",0
"412",0.147058823529412
"413",0.0212765957446809
"414",0.0645161290322581
"415",0
"416",0.08
"417",0.0882352941176471
"418",0.125
"419",0.0625
"420",0.0526315789473684
"421",0.0434782608695652
"422",0.166666666666667
"423",0
"424",0.277777777777778
"425",0.0333333333333333
"426",0.205882352941176
"427",0.0357142857142857
"428",0.03125
"429",0.0416666666666667
"430",0.0714285714285714
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0.0303030303030303
"437",0
"438",0
"439",0
"440",0
"441",0.2
"442",0.212121212121212
"443",0
"444",0
"445",0.0645161290322581
"446",0.114285714285714
"447",0.125
"448",0.230769230769231
"449",0.166666666666667
"450",0.09375
"451",0
"452",0.0689655172413793
"453",0.0333333333333333
"454",0.133333333333333
"455",0.0555555555555556
"456",0.125
"457",0.115384615384615
"458",0
"459",0.0344827586206897
"460",0.0526315789473684
"461",0.0666666666666667
"462",0.032258064516129
"463",0.0434782608695652
"464",0.0645161290322581
"465",0.0952380952380952
"466",0.0645161290322581
"467",0.103448275862069
"468",0
"469",0.0606060606060606
"470",0.261904761904762
"471",0
"472",0.0789473684210526
"473",0
"474",0.0909090909090909
"475",0.0357142857142857
"476",0.0645161290322581
"477",0.08
"478",0
"479",0
"480",0.138888888888889
"481",0
"482",0.0263157894736842
"483",0.04
"484",0
"485",0.027027027027027
"486",0
"487",0
"488",0
"489",0
"490",0.0666666666666667
"491",0
"492",0.0263157894736842
"493",0
"494",0.0333333333333333
"495",0.0344827586206897
"496",0.133333333333333
"497",0.0869565217391304
"498",0.0294117647058824
"499",0.0384615384615385
"500",0.0294117647058824
